Date,Region_Name,propertyType,averagePrice
2013-04-01,London,Terraced,325253.5199
2013-04-01,Newcastle upon Tyne,Terraced,130157.2099
2014-04-01,London,Terraced,381772.7512
2014-04-01,Newcastle upon Tyne,Terraced,135437.3222
2015-04-01,London,Terraced,419153.5034
2015-04-01,Newcastle upon Tyne,Terraced,144909.9052
2016-04-01,London,Terraced,477312.8832
2016-04-01,Newcastle upon Tyne,Terraced,145400.9221
2017-04-01,London,Terraced,488136.3481
2017-04-01,Newcastle upon Tyne,Terraced,144726.8908
2018-04-01,London,Terraced,493274.4449
2018-04-01,Newcastle upon Tyne,Terraced,152357.4093
2019-04-01,London,Terraced,489896.8914
2019-04-01,Newcastle upon Tyne,Terraced,148959.6792
2020-04-01,London,Terraced,502672.529
2020-04-01,Newcastle upon Tyne,Terraced,150333.3897
2021-04-01,London,Terraced,538415.3778
2021-04-01,Newcastle upon Tyne,Terraced,167206.5231
2001-04-01,London,Flat,137995.6625
2001-04-01,Newcastle upon Tyne,Flat,46886.38428
2002-04-01,London,Flat,163549.1807
2002-04-01,Newcastle upon Tyne,Flat,58366.31991
2003-04-01,London,Flat,188347.2855
2003-04-01,Newcastle upon Tyne,Flat,75906.41144
2004-04-01,London,Flat,202365.1876
2004-04-01,Newcastle upon Tyne,Flat,96529.09078
2005-04-01,London,Flat,211198.7055
2005-04-01,Newcastle upon Tyne,Flat,107065.8586
2006-04-01,London,Flat,220453.4236
2006-04-01,Newcastle upon Tyne,Flat,114742.8742
2007-04-01,London,Flat,251018.7512
2007-04-01,Newcastle upon Tyne,Flat,121413.7201
2008-04-01,London,Flat,265190.8084
2008-04-01,Newcastle upon Tyne,Flat,119039.5381
2009-04-01,London,Flat,222091.9491
2009-04-01,Newcastle upon Tyne,Flat,105125.5349
2010-04-01,London,Flat,251898.7003
2010-04-01,Newcastle upon Tyne,Flat,106926.2734
2011-04-01,London,Flat,264752.349
2011-04-01,Newcastle upon Tyne,Flat,99665.86258
2012-04-01,London,Flat,267992.9217
2012-04-01,Newcastle upon Tyne,Flat,102862.859
2013-04-01,London,Flat,288624.4778
2013-04-01,Newcastle upon Tyne,Flat,96620.78644
2014-04-01,London,Flat,337738.0181
2014-04-01,Newcastle upon Tyne,Flat,100501.6408
2015-04-01,London,Flat,367468.6726
2015-04-01,Newcastle upon Tyne,Flat,107638.6132
2016-04-01,London,Flat,407094.1472
2016-04-01,Newcastle upon Tyne,Flat,106857.9541
2017-04-01,London,Flat,428540.6399
2017-04-01,Newcastle upon Tyne,Flat,109630.363
2018-04-01,London,Flat,420314.5303
2018-04-01,Newcastle upon Tyne,Flat,112594.98
2019-04-01,London,Flat,411728.2298
2019-04-01,Newcastle upon Tyne,Flat,108411.0246
2020-04-01,London,Flat,412701.7408
2020-04-01,Newcastle upon Tyne,Flat,106345.493
2021-04-01,London,Flat,427992.3715
2021-04-01,Newcastle upon Tyne,Flat,114659.7908
