laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
E06000022,BATH AND NORTH EAST SOMERSET,43.8,65.5,2480.86,5.7,18.5,76.1,88.9,373.5,10,11.7,300,0.9,2.3,13.9,16.1,66.4,588,2132,3925,13854,42872,1914,44786,0.4,0.2,0.1,0.2,0.4,0.4,0.6
E06000055,BEDFORD,70.2,89.6,1000,5.3,19.4,87.1,107.7,371.9,10,16,180,0.9,2.8,13.9,19.3,89.7,482,1539,2183,8071,47165,3667,50832,0.4,0.2,0.1,0.3,0.5,0.5,0.6
N09000003,BELFAST,78.1,94.1,1000,6.1,17.7,96.9,112,375.9,10,12.7,220,1,1.9,14,15.2,35.7,554,2083,5159,15144,97165,5557,102722,0.4,0.2,0.1,0.2,0.5,0.5,0.6
E09000004,BEXLEY,55,78,1000,5.8,18,83.8,100.8,381.6,10,11.8,165,0.9,2.5,14.1,15.3,34.9,559,2656,5221,13275,58208,3523,61731,0.4,0.4,0.1,0.3,0.5,0.5,0.6
E08000025,BIRMINGHAM,73.7,91.2,1124,6.1,17.3,98.6,117.9,391.4,10,12.3,220,0.9,1.9,13.4,16,52.1,1995,9315,23267,50694,233639,16485,250124,0.4,0.2,0.2,0.3,0.5,0.5,0.5
E07000129,BLABY,54.8,76.7,1000,5.6,19.6,81.8,94.7,381.5,10,12,115,1,3.2,13.9,14.8,34.7,231,1052,1819,5155,27354,1231,28585,0.4,0.2,0.2,0.3,0.5,0.5,0.6
E06000008,BLACKBURN WITH DARWEN,60.7,75.8,1000,6.1,18.1,81.5,93.3,386.3,10,11.7,115,0.9,2.6,13.6,14.4,35.1,243,1168,2837,5999,35280,1425,36705,0.6,0.4,0.1,0.3,0.6,0.6,0.7
E06000009,BLACKPOOL,58.6,79.1,484,6.2,18,83.6,99.5,387.4,10,11.9,50,1,2,14,15.1,34.3,224,814,2285,8925,36597,2013,38610,0.6,0.2,0.2,0.4,0.5,0.5,0.6
W06000019,BLAENAU GWENT,39.1,39.6,1000,5.8,19.1,53.2,53.6,408.8,9.8,9.4,115,1,2.4,13.7,13.7,56.5,182,788,1421,6120,14817,17,14834,0.6,0.2,0.1,0.3,0.7,0.7,0.8
E07000033,BOLSOVER,40,56.2,1000,5.8,18.7,68.2,76.1,390.9,10,10.2,115,1,2.6,13.5,14.1,37,212,771,1570,6509,18310,459,18769,0.4,0.2,0.1,0.3,0.6,0.6,0.6
E08000001,BOLTON,68.6,84.9,1124,5.8,18.1,89.8,104.9,415,10,11.8,115,0.9,2.5,13.6,14.6,35.2,496,2570,4960,13378,73053,3557,76610,0.4,0.2,0.1,0.3,0.5,0.5,0.6
E07000136,BOSTON,39.9,42.1,1000,5.4,19.2,55.2,56.2,374.7,10,10.1,115,1,3.2,13.8,14,53.9,300,1062,1628,4587,15129,45,15174,0.4,0.2,0.2,0.3,0.4,0.4,0.8
E06000058,"BOURNEMOUTH, CHRISTCHURCH AND POOLE",59.6,83.2,2363.9,5.9,18.5,87.2,103.9,388.4,10,13.3,900,1,2.6,14,16.7,61.6,670,3362,6718,23050,105939,6220,112159,0.4,0.2,0.2,0.3,0.4,0.4,0.6
E06000036,BRACKNELL FOREST,55.9,79.2,1124,5.2,19.4,80.9,95.5,400.8,10,12.6,180,0.9,3.3,13.9,15.2,42.9,353,1456,1863,5013,33591,1605,35196,0.6,0.4,0.1,0.4,0.5,0.5,0.7
E08000032,BRADFORD,54.8,74.8,1000,6.1,18.3,86.8,99.1,375.5,10,10.7,3654.81,1,2.3,13.4,14.3,34.6,941,4207,10426,32038,113581,5071,118652,0.4,0.2,0.1,0.3,0.5,0.5,0.7
E07000067,BRAINTREE,39.9,44.8,1000,5.4,18.8,56.8,60.4,368,10,11.8,1000,0.9,2.5,14.1,16.8,242.1,754,1815,3131,12649,35075,416,35491,0.4,0.2,0.2,0.4,0.6,0.6,0.5
E07000143,BRECKLAND,39.1,41.3,1000,5.4,19.3,55.4,56.4,358.8,9.6,9.5,115,0.9,2.9,13.5,13.6,52,654,1834,3019,12341,31169,100,31269,0.4,0.2,0.1,0.3,0.5,0.5,0.8
E09000005,BRENT,58.3,71,1000,6.1,17.6,79.4,89.4,367.3,10,12.3,180,1,2.2,14.5,15.6,45.7,532,2028,5270,14719,67992,2445,70437,0.6,0.4,0.2,0.3,0.6,0.6,0.6
